s.age.t4,s.gen.t4,s.inc.t4,ad.1.t4,ad.2.t4,ad.3.t4,ad.4.t4,ad.5.t4,ad.6.t4,ad.7.t4,ad.8.t4
46,1,5,1,1,1,1,1,1,1,1
53,1,3,2,1,1,1,2,1,1,2
64,2,5,1,1,1,1,1,1,1,1
41,2,4, , , , , , , , 
46,1,3,2,2,2,2,2,1,2,2
23,2,2,2,2,2,1,1,1,1,2
55,2,2,2,3,2,1,1,2,1,2
50,1,3,3,3,3,4,1,1,4,4
28,2,4,3,4,3,3,4,4,3,4
51,1,5,2,2,2,2,2,1,2,2
33,2,3,1,1,1,1,1,4,2,2
47,2, , , , , , , , , 
59,2,4,2,2,2,3,2,2,2,2
23,1,4, , , , , , , , 
55,2,4,3,3,3,3,3,2,2,3
23,2,2,1,1,1,1,2,1,1,2
56,1,5,2,3,1,1,2,1,1,2
47,1,4,2,2,2,2,2,2,2,2
25,2,3,3,2,1,1,2,1,1,2
27,1,4,1,1,2,2,2,1,1,3
36,1,2,2,2,2,1,1,1,1,2
55,1,3,2,2,2,2,2,2,2,3
27,2,4,3,1,2,2,2,1,1,1
34,1,4,2,1,1,1,1,1,1,1
30,1,5,2,2,3,3,1,2,3,4
55,2,3,2,2,3,2,2,2,3,3
42,1,3,3,2,2,1,2,2,1,3
63,2,5,3,3,3,3,3,3,3,3
52,1,4,3,2,3,2,2,1,2,2
41,2,4,1,1,1,1,1,1,2,2
 , , , , , , , , , , 
60,2, ,3,3,3,2,3,2,2,4
63,2,1,1,1,1,1,1,1,1,1
52,1,4,2,1,1,1,1,1,1,1
32,2,4,1,1,1,1,1,1,1,1
49,2,2,1,1,1,1,1,1,1,1
24,2,4,2,1,1,1,2,1,1,2
55,1,4,2,2,1,1,2,1,1,2
58,1,4,2,2,2,1,1,1,1,2
27,2,4,1,1,1,1,1,1,1,2
46,1,5,2,2,1,2,2,2,2,2
50,1,4,3,2,2,3,3,2,3,3
51,1,4,2,2,1,1,1,1,1,1
60,1,2,2,2,2,2,3,2,2,4
47,1,5,1,1,1,1,1,1,1,2
56,1,1,3,3,2,3,4,3,2,3
30,1,4,2,2,2,2,2,1,2,2
21,2,3,2,2,3,2,1,2,3,2
19,2,3,2,1,4,1,2,4,3,2
26,1,3,2,2,3,3,3,3,2,1
38,1,3,2,2,3,2,2,2,2,2
45,1,1,4,4,3,4,4,3,4,4
35,2,1,2,2,2,1,1,1,1,1
58,2,2,3,3,3,3,3,2,4,3
54,1, ,2,2,2,2,2,2,2,2
37,1,4,2,2,1,1,1,1,1,1
37,1,5,3,2,2,2,3,3,1,2
35,2,5,2,1,1,1,1,2,3,2
21,1,4,3,3,2,3,3,2,2,3
62,2,5,4,4,4,4,4,3,3,4
52,2, ,4,3,3,3,3,2,2,3
48,2,3,1,1,1,1,1,1,1,1
48,1,2,4,4,2,4,4,4,1,4
38,1,3,2,2,2,2,1,2,2,3
63,2,1,1,1,1,1,1,1,1,1
43,2,4,2,1,1,1,1,1,1,1
24,1,4,1,1,1,1,1,1,1,1
62,1,2,1,1,1,1,1,1,1,1
52,2,3,3,3,3,3,4,3,3,3
23,2,4, , , , , , , , 
60,2,2,3,2,1,1,2,1,1,2
64,2,2,3,2,2,1,2,2,2,2
40,2,3,1,1,1,1,1,1,1,3
55,2,5,3,3,2,1,2,1,2,2
61,1,3,2,2,1,1,2,1,1,1
34,1,4,2,1,1,1,1,1,1,2
31,2,3,2,1,1,1,2,1,1,3
32,1,4,1,1,1,1,1,1,1,1
22,2,4,1,1,1,1,1,1,1,2
35,2,5,3,3,2,2,3,2,2,3
62,2,3,3,3,2,2,2,2,2,2
26,2,3,2,3,4,3,3,2,4,3
46,1,5,3,3,3,3,3,3,2,4
55,1,3,1,1,1,1,1,1,1,1
36,1,3,1,1,1,1,1,1,1,1
55,1,3,3,3,2,3,3,2,4,2
49,2,2,2,2,2,1,2,1,1,2
56,2, ,3,2,2,1,2,1,1,2
39,1,3,2,2,2,1,1,2,1,3
35,1,3,1,1,1,1,1,1,1,1
23,2,4,2,2,4,1,1,1,1,3
62,2,1,1,1,1,1,1,1,1,1
40,1,5,2,1,1,1,1,1,2,2
33,1,3,2,2,2,2,2,3,3,3
24,2,4,3,2,2,2,2,3,2,3
58,1,4,2,1,1,1,1,1,1,2
34,1,5,1,1,1,1,1,1,1,1
41,1,3,1,1,1,1,1,1,1,1
34,2,5,2,2,2,2,3,3,3,3
57,2,3, , , , , , , , 
56,2,2, , , , , , , , 
53,1,2,1,1,1,1,1,1,1,3
52,2,3,2,2,1,1,1,1,1,2
27,2,4,2,2,2,1,3,2,2,3
45,1,4,2,3,4,3,4,4,3,4
46,2,5,2,2,1,1,1,1,2,4
47,1,1,4,3,3,2,2,3,2,2
35,1,4,2,2,1,1,1,1,1,2
52,1,4,3,2,3,1,1,3,2,4
34,1,3,4,4,4,4,4,1,1,4
25,2,3,4,4,4,4,3,3,4,4
55,2,5,2,2,2,1,2,1,2,3
53,1,4,4,4,4,4,4,4,4,4
36,2,4,2,1,1,1,1,1,1,1
52,2,4,3,2,2,2,2,1,1,2
42,2,4,2,2,2,1,2,2,1,3
53,2,1,3,2,1,1,2,2,1,2
33,2,5,2,2,2,2,2,1,1,1
46,1,4,2,3,2,3,2,3,3,3
39,1,4,1,1,1,1,1,1,1,2
62,2,4,2,1,1,1,1,1,1,2
54,1,4,3,3,2,2,2,2,2,2
33,2,3,2,1,1,1,1,1,2,1
58,2,4,3,3,2,3,3,3,1,1
45,2,4,1,1,1,1,2,1,1,2
61,2,2,3,3,3,3,3,2,2,2
54,2,3,3,3,1,1,2,1,2,3
26,2,3,2,1,1,1,1,1,1,1
27,2,4,1,1,1,1,1,1,1,1
39,1,4,2,2,2,2,2,2,2,2
26,2,3,1,1,1,1,1,1,1,1
47,1,4,2,1,2,1,1,3,1,2
60,2,3,2,2,2,2,2,1,2,2
23,2,5,2,1,2,2,2,1,2,2
33,1,4,1,1,2,1,1,2,2,2
55,2,3,2,1,1,1,1,2,1,1
60,1,3,1,1,1,1,1,1,1,1
56,2,3,3,3,4,2,2,4,4,2
30,1,4,1,1,1,1,1,1,1,2
55,1,2,2,1,1,1,1,1,1,1
35,2, , , , , , , , , 
49,1,5,3,2,3,2,1,1,2,1
57,1,4,2,3,2,3,2,3,3,3
46,2,5,3,2,2,2,2,2,2,3
42,2,3,3,3,3,3,3,3,3,3
44,1,2,3,3,1,2,2,1,1,3
32,2,4,2,2,2,1,1,2,1,1
45,1,4,2,2,2,2,2,2,2,3
37,1, ,1,1,2,1,1,1,2,1
58,2,5,1,1,1,1,1,2,1,3
25,2,2,1,1,2,1,2,3,1,1
43,2,3,1,1,1,1,1,1,1,1
25,1,5,2,2,1,1,1,1,1,2
41,2,3,4,4,2,3,2,3,2,4
